,trueantecedents,trueconsequents,support,confidence,lift,leverage
128,[2801257],[6931514],0.0005811965811965812,1.0,975.0,0.0005806004821389437
67,[929823],[4980033],0.0007521367521367521,1.0,411.9718309859155,0.000750311052670027
5,[270789],[7351914],0.0007521367521367521,1.0,311.17021276595744,0.0007497196288991161
69,[989823],[4980033],0.0006837606837606838,1.0,411.9718309859155,0.0006821009569727518
91,[2266446],[7351914],0.0006495726495726495,1.0,311.17021276595744,0.0006474851340492366
240,[4472217],[7351914],0.0006837606837606838,1.0,311.17021276595744,0.0006815632989991964
432,"[3898011, 4440924]",[3968011],0.0006153846153846154,0.9473684210526316,79.39978887045694,0.0006076341588136461
242,[4552217],[7351914],0.0006153846153846154,0.9473684210526316,294.7928331466965,0.0006132970998612025
143,[3362422],[7351914],0.0005811965811965812,0.9444444444444444,293.8829787234042,0.0005792189349112425
251,[4752472],[4772472],0.0005128205128205128,0.9374999999999999,1523.4374999999998,0.0005124838921761999
77,[1751939],[1671939],0.0009572649572649573,0.9333333333333333,802.9411764705883,0.0009560727591496822
426,"[3898011, 3690654]",[3968011],0.0019487179487179488,0.9193548387096774,77.05194565116923,0.001923426985170575
449,"[6032521, 6072521]",[6062521],0.0006837606837606838,0.9090909090909092,830.9659090909091,0.0006829378332968076
396,"[1751939, 2141939]",[1671939],0.0006837606837606838,0.9090909090909092,782.0855614973264,0.0006828864051428154
379,[8032644],[8042644],0.000547008547008547,0.888888888888889,1000.0,0.0005464615384615385
436,"[4462521, 4142521]",[4512521],0.000547008547008547,0.888888888888889,928.5714285714287,0.0005464194608809994
331,[6510353],[6500353],0.000547008547008547,0.888888888888889,838.7096774193549,0.0005463563445101907
438,"[4142521, 4512521]",[4462521],0.000547008547008547,0.888888888888889,962.962962962963,0.0005464404996712689
79,[2141939],[1671939],0.0007863247863247863,0.8846153846153846,761.0294117647059,0.0007852915479582146
306,[6240353],[6250353],0.0005128205128205128,0.8823529411764707,921.7436974789916,0.0005122641537000512
303,[6240353],[6230353],0.0005128205128205128,0.8823529411764707,1032.3529411764707,0.0005123237636058149
374,[7638632],[7648632],0.0005128205128205128,0.8823529411764707,1290.4411764705883,0.0005124231134487544
304,[6230353],[6250353],0.0007521367521367521,0.88,919.2857142857142,0.0007513185769596025
395,"[1671939, 2141939]",[1751939],0.0006837606837606838,0.8695652173913043,847.8260869565217,0.0006829541968003507
223,[4456421],[4206421],0.0006837606837606838,0.8695652173913043,1017.391304347826,0.0006830886112937395
221,[4142521],[4512521],0.0006153846153846154,0.8571428571428571,895.408163265306,0.0006146973482358097
219,[4142521],[4462521],0.0006153846153846154,0.8571428571428571,928.5714285714286,0.0006147218934911243
414,"[2726578, 3908011]",[3998011],0.0007863247863247863,0.8518518518518519,98.48484848484847,0.0007783405654174885
391,[8956048],[8616048],0.0005811965811965812,0.85,1130.1136363636363,0.0005806822996566587
337,[6570353],[6560353],0.0005811965811965812,0.85,956.2499999999999,0.0005805887939221272
14,[366422],[7076422],0.0005811965811965812,0.85,994.5,0.0005806121703557601
80,[2141939],[1751939],0.0007521367521367521,0.846153846153846,824.9999999999999,0.0007512250712250712
95,[7583724],[2313723],0.000547008547008547,0.8421052631578949,769.7368421052632,0.0005462979034261086
65,[917171],[887171],0.000547008547008547,0.8421052631578949,1231.5789473684213,0.000546564394769523
313,[6270353],[6290353],0.000547008547008547,0.8421052631578949,703.7593984962407,0.000546231280590255
322,[6372521],[6412521],0.000547008547008547,0.8421052631578949,879.6992481203009,0.0005463867338739134
294,[6072521],[6062521],0.0008888888888888889,0.8387096774193549,766.633064516129,0.0008877294177806999
407,"[3988011, 3908011]",[2716578],0.0012307692307692308,0.8372093023255814,113.8994050838291,0.0012199634743224486
448,"[6032521, 6062521]",[6072521],0.0006837606837606838,0.8333333333333334,786.2903225806451,0.000682891080429542
250,[4772472],[4752472],0.0005128205128205128,0.8333333333333333,1523.4374999999998,0.0005124838921761999
281,[5648642],[5598642],0.0005128205128205128,0.8333333333333333,1218.75,0.0005123997370151216
76,[1671939],[1751939],0.0009572649572649573,0.823529411764706,802.9411764705883,0.0009560727591496822
408,"[2716578, 3908011]",[3988011],0.0012307692307692308,0.8181818181818182,178.59565807327002,0.0012238778581342685
295,[6062521],[6072521],0.0008888888888888889,0.8125,766.633064516129,0.0008877294177806999
442,"[5168362, 4648362]",[4898362],0.000547008547008547,0.8,487.50000000000006,0.0005458864781941706
12,[366422],[546423],0.000547008547008547,0.8,975.0000000000001,0.0005464475126013587
222,[4206421],[4456421],0.0006837606837606838,0.8,1017.3913043478261,0.0006830886112937395
64,[887171],[917171],0.000547008547008547,0.8,1231.5789473684213,0.000546564394769523
16,[376422],[7316422],0.000547008547008547,0.8,1114.2857142857142,0.0005465176419022573
324,[6402521],[6412521],0.000547008547008547,0.8,835.7142857142858,0.0005463540068668274
290,[6032521],[6062521],0.0008205128205128205,0.7999999999999999,731.2499999999999,0.000819390751698444
23,[546423],[7076422],0.0006495726495726495,0.7916666666666666,926.25,0.0006488713565636642
309,[6270353],[6260353],0.0005128205128205128,0.7894736842105263,855.2631578947369,0.0005122209072978304
305,[6250353],[6230353],0.0007521367521367521,0.7857142857142857,919.2857142857142,0.0007513185769596025
342,[6642521],[6742521],0.0006153846153846154,0.782608695652174,673.2736572890026,0.0006144705968295712
430,"[3968011, 4440924]",[3898011],0.0006153846153846154,0.782608695652174,71.53532608695653,0.0006067820878077289
344,[6642521],[6752521],0.0006153846153846154,0.782608695652174,817.5465838509317,0.0006146318942216378
310,[6260353],[6290353],0.000717948717948718,0.7777777777777778,650.0,0.0007168441814595661
328,[6470353],[6490353],0.0009572649572649573,0.7777777777777778,541.6666666666666,0.0009554976988823142
239,[4462521],[4512521],0.000717948717948718,0.7777777777777778,812.5,0.0007170650887573965
0,[238327],[98327],0.0005811965811965812,0.7727272727272727,706.3210227272726,0.000580373730732705
390,[8616048],[8956048],0.0005811965811965812,0.7727272727272727,1130.1136363636363,0.0005806822996566587
335,[6530353],[6550353],0.0005811965811965812,0.7727272727272727,904.0909090909091,0.0005805537292716779
399,[2141939],"[1671939, 1751939]",0.0006837606837606838,0.7692307692307692,803.5714285714284,0.0006829097815764482
450,"[6062521, 6072521]",[6032521],0.0006837606837606838,0.7692307692307692,749.9999999999999,0.0006828490028490028
401,"[2716578, 3898011]",[3968011],0.000547008547008547,0.761904761904762,63.855914858780196,0.0005384422529037914
440,[4142521],"[4462521, 4512521]",0.000547008547008547,0.761904761904762,1061.2244897959183,0.0005464930966469428
17,[7316422],[376422],0.000547008547008547,0.761904761904762,1114.2857142857144,0.0005465176419022573
437,"[4462521, 4512521]",[4142521],0.000547008547008547,0.761904761904762,1061.2244897959183,0.0005464930966469428
22,[7076422],[546423],0.0006495726495726495,0.7599999999999999,926.2499999999999,0.0006488713565636642
375,[7648632],[7638632],0.0005128205128205128,0.75,1290.4411764705883,0.0005124231134487544
340,[6570353],[6580353],0.0005128205128205128,0.75,783.4821428571429,0.0005121659726787932
25,[556423],[7316422],0.0005128205128205128,0.75,1044.642857142857,0.0005123296077142231
62,[897171],[887171],0.0005128205128205128,0.75,1096.875,0.000512352984147856
280,[5598642],[5648642],0.0005128205128205128,0.75,1218.75,0.0005123997370151216
238,[4512521],[4462521],0.000717948717948718,0.75,812.5,0.0007170650887573965
63,[887171],[897171],0.0005128205128205128,0.75,1096.875,0.000512352984147856
291,[6062521],[6032521],0.0008205128205128205,0.7499999999999999,731.2499999999999,0.000819390751698444
425,"[3968011, 3690654]",[3898011],0.0019487179487179488,0.7402597402597403,67.66436688311688,0.0019199181824822852
376,[7693786],[7793786],0.0005811965811965812,0.7391304347826086,745.5022488755623,0.0005804169771349259
292,[6032521],[6072521],0.0007521367521367521,0.7333333333333333,691.9354838709677,0.0007510497479728249
81,[1751939],[2141939],0.0007521367521367521,0.7333333333333333,824.9999999999999,0.0007512250712250712
338,[6560353],[6580353],0.0006495726495726495,0.7307692307692307,763.3928571428571,0.000648721747388414
419,"[3524026, 3898011]",[3978011],0.0015726495726495727,0.7301587301587302,29.017857142857146,0.0015184536489151873
381,[8052644],[8042644],0.000547008547008547,0.7272727272727274,818.1818181818182,0.0005463399810066477
316,[6300353],[6340353],0.0006153846153846154,0.72,601.7142857142857,0.0006143618964131785
262,[6949904],[5189905],0.0007863247863247863,0.71875,553.2483552631579,0.0007849034991599095
394,"[1671939, 1751939]",[2141939],0.0006837606837606838,0.7142857142857143,803.5714285714286,0.0006829097815764482
333,[6520353],[6500353],0.0006837606837606838,0.7142857142857143,673.963133640553,0.0006827461465410184
320,[6410353],[6370353],0.0006837606837606838,0.7142857142857143,673.963133640553,0.0006827461465410184
24,[7316422],[556423],0.0005128205128205128,0.7142857142857142,1044.642857142857,0.0005123296077142231
293,[6072521],[6032521],0.0007521367521367521,0.7096774193548386,691.9354838709677,0.0007510497479728249
252,[4762521],[4752521],0.0005811965811965812,0.7083333333333334,828.75,0.0005804952881875958
326,[6440353],[6460353],0.0006495726495726495,0.7037037037037037,686.1111111111111,0.0006486259040105193
315,[6320353],[6300353],0.0005811965811965812,0.6799999999999999,795.5999999999999,0.0005804660676455548
318,[6320353],[6340353],0.0005811965811965812,0.6799999999999999,568.2857142857142,0.0005801738622251443
15,[7076422],[366422],0.0005811965811965812,0.6799999999999999,994.4999999999999,0.0005806121703557601
314,[6300353],[6320353],0.0005811965811965812,0.6799999999999999,795.5999999999999,0.0005804660676455548
334,[6550353],[6530353],0.0005811965811965812,0.6799999999999999,904.090909090909,0.0005805537292716779
253,[4752521],[4762521],0.0005811965811965812,0.6799999999999999,828.75,0.0005804952881875958
